iteration	\log_{10}(R_{\rho})
1213	-5.846999847
1214	-5.8476057106
1215	-5.8482293896
1216	-5.8488659513
1217	-5.849509784
1218	-5.8501553559
1219	-5.8507975534
1220	-5.8514319603
1221	-5.852055056
1222	-5.8526643063
1223	-5.8532581702
1224	-5.8538360005
1225	-5.8543978742
1226	-5.8549442375
1227	-5.8554761795
1228	-5.8559946532
1229	-5.8565005346
1230	-5.856994424
1231	-5.8574766858
1232	-5.8579473828
1233	-5.8584064016
1234	-5.8588535807
1235	-5.8592889355
1236	-5.8597128457
1237	-5.860126197
1238	-5.8605305175
1239	-5.8609280524
1240	-5.8613217461
1241	-5.8617148924
1242	-5.8621113095
1243	-5.8625156252
1244	-5.862932146
1245	-5.8633647337
1246	-5.8638166621
1247	-5.8642903736
1248	-5.8647872913
1249	-5.8653076999
1250	-5.8658507283
1251	-5.8664144489
1252	-5.8669959739
1253	-5.8675916377
1254	-5.8681972984
1255	-5.8688087328
1256	-5.8694217151
1257	-5.8700322824
1258	-5.8706370071
1259	-5.871233034
1260	-5.8718184129
1261	-5.8723917808
1262	-5.8729524085
1263	-5.8735000864
1264	-5.8740349825
1265	-5.8745574814
1266	-5.8750680443
1267	-5.8755670996
1268	-5.8760549695
1269	-5.8765318563
1270	-5.8769978673
1271	-5.8774530993
1272	-5.8778977462
1273	-5.8783322249
1274	-5.8787573003
1275	-5.8791741925
1276	-5.8795846343
1277	-5.8799908496
1278	-5.8803955974
1279	-5.8808020753
1280	-5.881213677
1281	-5.8816338336
1282	-5.8820658273
1283	-5.8825125785
1284	-5.8829763844
1285	-5.8834588331
1286	-5.8839607489
1287	-5.8844819851
1288	-5.8850214848
1289	-5.8855773497
1290	-5.8861470493
1291	-5.8867275121
1292	-5.8873153475
1293	-5.887907012
1294	-5.8884991714
1295	-5.8890886953
1296	-5.889672888
1297	-5.8902494807
1298	-5.8908167563
1299	-5.8913736138
1300	-5.8919193724
1301	-5.8924536989
1302	-5.8929765413
1303	-5.8934880275
1304	-5.8939883711
1305	-5.8944778098
1306	-5.8949565723
1307	-5.8954248875
1308	-5.8958830226
1309	-5.8963313416
1310	-5.8967703827
1311	-5.8972007868
1312	-5.8976237646
1313	-5.8980408924
1314	-5.8984540751
1315	-5.8988655742
1316	-5.8992779466
1317	-5.8996939402
1318	-5.9001163613
1319	-5.9005479148
1320	-5.9009910072
1321	-5.9014476189
1322	-5.9019192975
1323	-5.9024068589
1324	-5.9029104152
1325	-5.9034293144
1326	-5.9039622853
1327	-5.9045074151
1328	-5.905062426
1329	-5.9056246972
1330	-5.9061913973
1331	-5.9067596843
1332	-5.9073268378
1333	-5.9078904162
1334	-5.9084483259
1335	-5.908998875
1336	-5.9095407712
1337	-5.9100730887
1338	-5.9105952574
1339	-5.9111069811
1340	-5.911608179
1341	-5.9120989187
1342	-5.9125793365
1343	-5.913049719
1344	-5.9135103803
1345	-5.9139617114
1346	-5.9144042107
1347	-5.9148385258
1348	-5.9152654994
1349	-5.9156862094
1350	-5.9161019964
1351	-5.9165144682
1352	-5.9169254315
1353	-5.9173369291
1354	-5.9177511868
1355	-5.9181704053
1356	-5.9185967008
1357	-5.9190319896
1358	-5.9194778979
1359	-5.9199353492
1360	-5.9204050209
1361	-5.9208873742
1362	-5.9213820319
1363	-5.9218880986
1364	-5.9224042082
1365	-5.9229286128
1366	-5.9234592806
1367	-5.9239940123
